datum;verein_kuerzel;dienst_typ;bereich_name;taetigkeit_name;von_zeit;bis_zeit;anzahl_personen;splittbar;admin_only;besonderheiten
2026-07-04;TVW;dienst;Spülen;Spülen (Gläser);21:00:00;01:00:00;1;0;0;Gläser Spülen
2026-07-04;TVW;dienst;Nachtwache;Nachtwache;23:00:00;08:59:00;1;0;0;Sa auf So
2026-07-04;SCJ;dienst;Nachtwache;Nachtwache;23:00:00;08:59:00;1;0;0;Sa auf So
2026-07-05;TVW;dienst;Kinder;Betreuung;08:00:00;13:00:00;1;0;0;
2026-07-05;VR;dienst;Betreuung;Aufsicht Küche;09:00:00;16:00:00;1;0;0;Schichtleitung
2026-07-05;FFW;dienst;Kalte Speisen;Vorbereitung (Salat & Sonder Speisen);09:00:00;13:00:00;1;0;0;
2026-07-05;TVW;dienst;Betreuung;Spielstraße;09:00:00;15:00:00;6;0;0;
2026-07-05;GVE;dienst;Kalte Speisen;Ausgabe (Salat & Sonder Speisen);10:00:00;14:00:00;1;0;0;Vorbereit.Essen u. Salat >  Ausgabe
2026-07-05;VR;dienst;Betreuung;Aufsicht Getränke;10:30:00;17:30:00;1;0;0;Schichtleitung
2026-07-05;SCJ;dienst;Getränke;Springer Getränke Bereich;10:30:00;14:30:00;1;0;0;Zapfen + Getränkestand Versorg.
2026-07-05;SCJ;dienst;Getränke;Ausgabe (Bier);10:30:00;14:30:00;1;0;0;Ausgabe Bier
2026-07-05;SCJ;dienst;Getränke;Getränkeausgabe (Wein & alkoholfrei);10:30:00;14:30:00;1;0;0;Ausgabe u. Auffüllen  Cola/Fanta/Wein
2026-07-05;GVE;dienst;Kasse;Bonkasse;10:30:00;14:30:00;1;0;0;
2026-07-05;SCJ;dienst;Warme Speisen;Zubereitung (Grill);10:30:00;14:30:00;1;0;0;Zubereitung und Vorbereitung
2026-07-05;TVW;dienst;Warme Speisen;Zubereitung (Pommes);10:30:00;14:30:00;1;0;0;Zubereitung
2026-07-05;GVE;dienst;Warme Speisen;Ausgabe (Grill & Pommes);10:30:00;14:30:00;1;0;0;Vorbereitung Essenstand u  Essen Ausg.
2026-07-05;SCJ;dienst;Warme Speisen;Ausgabe (Grill & Pommes);10:30:00;14:30:00;1;0;0;Vorbereitung Essenstand u  Essen Ausg.
2026-07-05;TVW;dienst;Warme Speisen;Ausgabe (Grill & Pommes);10:30:00;14:30:00;1;0;0;Zusatzschicht Mittagesssen
2026-07-05;SCJ;dienst;Getränke;Getränkeausgabe (Wein & alkoholfrei);11:00:00;15:00:00;1;0;0;Ausgabe u. Auffüllen  Cola/Fanta/Wein
2026-07-05;FFW;dienst;Spülen;Spülen (Gläser);11:00:00;15:00:00;1;0;0;
2026-07-05;SCJ;dienst;Spülen;Tellerspülen;11:00:00;15:00:00;1;0;0;incl Tellerrücknahmen
2026-07-05;GVE;dienst;Warme Speisen;Zubereitung (Grill);11:00:00;15:00:00;1;0;0;Zubereitung
2026-07-05;FFW;dienst;Warme Speisen;Springer Küche;11:00:00;15:00:00;1;0;0;Springer Pommes oder Grill
2026-07-05;GVE;dienst;Getränke;Zapfen (Bier);11:30:00;15:30:00;1;0;0;Zapfen
2026-07-05;GVE;dienst;Getränke;Ausgabe (Bier);11:30:00;15:30:00;1;0;0;Ausgabe Bier
2026-07-05;TVW;dienst;Spülen;Tellerspülen;11:30:00;15:30:00;1;0;0;incl Tellerrücknahmen
2026-07-05;TVW;dienst;Spülen;Tellerspülen;11:30:00;15:30:00;1;0;0;incl Tellerrücknahmen
2026-07-05;TVW;dienst;Warme Speisen;Ausgabe (Grill & Pommes);11:30:00;15:30:00;1;0;0;Ausgabe
2026-07-05;FFW;dienst;Getränke;Springer Getränke Bereich;12:00:00;16:00:00;1;0;0;Zapfen oder Ausgabe wo Bedarf
